25-128-1---------------------
TST Epoch 81, Loss: 40.2161
VAL Epoch 82, Loss: 40.0186
TST Epoch 82, Loss: 40.0192
VAL Epoch 83, Loss: 40.2240
TST Epoch 83, Loss: 40.2264
VAL Epoch 84, Loss: 39.9532
TST Epoch 84, Loss: 39.9551
VAL Epoch 85, Loss: 39.9705
TST Epoch 85, Loss: 39.9704
VAL Epoch 86, Loss: 40.0302
TST Epoch 86, Loss: 40.0290
VAL Epoch 87, Loss: 40.0372
TST Epoch 87, Loss: 40.0376
VAL Epoch 88, Loss: 39.8281
TST Epoch 88, Loss: 39.8269
VAL Epoch 89, Loss: 40.0246
TST Epoch 89, Loss: 40.0252
VAL Epoch 90, Loss: 39.7869
TST Epoch 90, Loss: 39.7841
VAL Epoch 91, Loss: 39.9198
TST Epoch 91, Loss: 39.9200
VAL Epoch 92, Loss: 39.8193
TST Epoch 92, Loss: 39.8187
VAL Epoch 93, Loss: 39.3900
TST Epoch 93, Loss: 39.3875
VAL Epoch 94, Loss: 40.0708
TST Epoch 94, Loss: 40.0703
VAL Epoch 95, Loss: 39.8817
TST Epoch 95, Loss: 39.8795
VAL Epoch 96, Loss: 39.5551
TST Epoch 96, Loss: 39.5572
VAL Epoch 97, Loss: 39.5278
TST Epoch 97, Loss: 39.5299
VAL Epoch 98, Loss: 39.3718
TST Epoch 98, Loss: 39.3737
VAL Epoch 99, Loss: 39.5554
TST Epoch 99, Loss: 39.5576
VAL Epoch 100, Loss: 39.4847
TST Epoch 100, Loss: 39.4870
VAL Epoch 101, Loss: 39.5021
TST Epoch 101, Loss: 39.5020
VAL Epoch 102, Loss: 39.4384
TST Epoch 102, Loss: 39.4385
VAL Epoch 103, Loss: 39.2169
TST Epoch 103, Loss: 39.2201
VAL Epoch 104, Loss: 39.4403
