VAL Epoch 82, Loss: 47.5575
TST Epoch 82, Loss: 47.5598
VAL Epoch 83, Loss: 47.5767
TST Epoch 83, Loss: 47.5762
VAL Epoch 84, Loss: 47.5036
TST Epoch 84, Loss: 47.4985
VAL Epoch 85, Loss: 47.5371
TST Epoch 85, Loss: 47.5429
VAL Epoch 86, Loss: 47.3007
TST Epoch 86, Loss: 47.2999
VAL Epoch 87, Loss: 47.1554
TST Epoch 87, Loss: 47.1494
VAL Epoch 88, Loss: 47.0151
TST Epoch 88, Loss: 47.0160
VAL Epoch 89, Loss: 47.1632
TST Epoch 89, Loss: 47.1567
VAL Epoch 90, Loss: 46.9950
TST Epoch 90, Loss: 46.9917
VAL Epoch 91, Loss: 47.2884
TST Epoch 91, Loss: 47.2909
VAL Epoch 92, Loss: 47.1362
TST Epoch 92, Loss: 47.1402
VAL Epoch 93, Loss: 46.8928
TST Epoch 93, Loss: 46.8912
VAL Epoch 94, Loss: 47.0133
TST Epoch 94, Loss: 47.0221
VAL Epoch 95, Loss: 46.6952
TST Epoch 95, Loss: 46.7022
VAL Epoch 96, Loss: 46.4431
TST Epoch 96, Loss: 46.4449
VAL Epoch 97, Loss: 46.4283
TST Epoch 97, Loss: 46.4235
VAL Epoch 98, Loss: 46.3857
TST Epoch 98, Loss: 46.3937
VAL Epoch 99, Loss: 46.3898
TST Epoch 99, Loss: 46.3881
VAL Epoch 100, Loss: 46.5348
TST Epoch 100, Loss: 46.5369
VAL Epoch 101, Loss: 46.7195
