Epoch 0;7,5563;7,5563
Epoch 1;7,3979;7,3979
Epoch 2;7,3542;7,3542
Epoch 3;7,2905;7,2905
Epoch 4;7,2648;7,2648
Epoch 5;7,2668;7,2668
Epoch 6;7,2570;7,2570
Epoch 7;7,2638;7,2638
Epoch 8;7,2734;7,2734
Epoch 9;7,2585;7,2585
Epoch 10;7,2507;7,2507
Epoch 11;7,2387;7,2387
Epoch 12;7,1942;7,1942
Epoch 13;7,1970;7,1970
Epoch 14;7,1844;7,1844
Epoch 15;7,1694;7,1694
Epoch 16;7,1937;7,1937
Epoch 17;7,1688;7,1688
Epoch 18;7,1575;7,1575
Epoch 19;7,1573;7,1573
Epoch 20;7,1524;7,1524
Epoch 21;7,1680;7,1680
Epoch 22;7,1660;7,1660
Epoch 23;7,1085;7,1085
Epoch 24;7,0904;7,0904
Epoch 25;7,1390;7,1390
Epoch 26;7,0819;7,0819
Epoch 27;7,0723;7,0723
Epoch 28;7,0764;7,0764
Epoch 29;7,0747;7,0747
Epoch 30;7,0567;7,0567
Epoch 31;7,0650;7,0650
Epoch 32;7,0758;7,0758
Epoch 33;7,0495;7,0495
Epoch 34;7,0589;7,0589
Epoch 35;7,0931;7,0931
Epoch 36;7,0594;7,0594
Epoch 37;7,0591;7,0591
Epoch 38;7,0466;7,0466
Epoch 39;7,0533;7,0533
Epoch 40;7,0637;7,0637
Epoch 41;7,0423;7,0423
Epoch 42;7,0617;7,0617
Epoch 43;7,0433;7,0433
Epoch 44;7,0550;7,0550
Epoch 45;7,0698;7,0698
Epoch 46;7,0413;7,0413
Epoch 47;7,0606;7,0606
Epoch 48;7,0409;7,0409
Epoch 49;7,0418;7,0418
Epoch 50;7,0382;7,0382
Epoch 51;7,0469;7,0469
Epoch 52;7,0323;7,0323
Epoch 53;7,0329;7,0329
Epoch 54;7,0444;7,0444
Epoch 55;7,0581;7,0581
Epoch 56;7,0570;7,0570
Epoch 57;7,1078;7,1078
Epoch 58;7,0365;7,0365
Epoch 59;7,0755;7,0755
Epoch 60;7,0550;7,0550
Epoch 61;7,0364;7,0364
Epoch 62;7,0409;7,0409
Epoch 63;7,0392;7,0392
Epoch 64;7,0420;7,0420
Epoch 65;7,0604;7,0604
Epoch 66;7,0433;7,0433
Epoch 67;7,0539;7,0539
Epoch 68;7,0349;7,0349
Epoch 69;7,3232;7,3232
Epoch 70;7,3491;7,3491
Epoch 71;7,3141;7,3141
Epoch 72;7,2988;7,2988
Epoch 73;7,3134;7,3134
Epoch 74;7,3227;7,3227
Epoch 75;7,3057;7,3057
Epoch 76;7,3206;7,3206
Epoch 77;7,3295;7,3295
Epoch 78;7,3314;7,3314
Epoch 79;7,3353;7,3353
Epoch 80;7,2980;7,2980
Epoch 81;7,3477;7,3477
Epoch 82;7,3451;7,3451
Epoch 83;7,3179;7,3179
Epoch 84;7,2520;7,2520
Epoch 85;7,2720;7,2720
Epoch 86;7,2682;7,2682
Epoch 87;7,2542;7,2542
